"";"x"
"286";108647,009118893
"287";105748,662955512
"288";103230,756796748
"289";101578,524092386
"290";92617,0952113327
"291";102323,604813445
"292";97762,2310428421
"293";99238,7921654813
"294";107163,578766569
"295";109035,302333236
"296";100014,897013674
"297";100225,973834535
"298";103211,64588183
"299";101587,252203904
"300";103581,524035244
